# Timer data started: Wed Mar 15 19:09:02 2023
# timer(10 ns), starts, total starts, total stops
3698, 49, 49, 1
2107, 97, 146, 2
144, 68, 214, 3
33, 203, 417, 4
396, 28, 445, 5
177, 26, 471, 6
793, 383, 854, 7
451, 311, 1165, 8
479, 363, 1528, 9
643, 194, 1722, 10
2684, 150, 1872, 11
52, 278, 2150, 12
228, 8, 2158, 13
219, 695, 2853, 14
304, 443, 3296, 15
75, 283, 3579, 16
2122, 183, 3762, 17
1819, 44, 3806, 18
124, 464, 4270, 19
21, 348, 4618, 20
174, 542, 5160, 21
359, 244, 5404, 22
3563, 19, 5423, 23
4061, 764, 6187, 24
47, 705, 6892, 25
915, 56, 6948, 26
223, 310, 7258, 27
1508, 9, 7267, 28
374, 180, 7447, 29
4084, 47, 7494, 30
24, 225, 7719, 31
74, 129, 7848, 32
2368, 306, 8154, 33
22, 190, 8344, 34
275, 160, 8504, 35
1706, 231, 8735, 36
19, 65, 8800, 37
255, 1, 8801, 38
1442, 956, 9757, 39
507, 143, 9900, 40
490, 33, 9933, 41
3830, 265, 10198, 42
314, 72, 10270, 43
315, 212, 10482, 44
63, 76, 10558, 45
2733, 51, 10609, 46
14, 450, 11059, 47
2779, 83, 11142, 48
1277, 212, 11354, 49
3959, 896, 12250, 50
451, 315, 12565, 51
472, 247, 12812, 52
2397, 119, 12931, 53
376, 88, 13019, 54
40, 128, 13147, 55
3900, 68, 13215, 56
2703, 24, 13239, 57
135, 518, 13757, 58
173, 387, 14144, 59
1748, 429, 14573, 60
245, 1044, 15617, 61
13, 400, 16017, 62
1395, 394, 16411, 63
131, 95, 16506, 64
3070, 64, 16570, 65
72, 15, 16585, 66
2278, 803, 17388, 67
2390, 235, 17623, 68
2898, 242, 17865, 69
112, 178, 18043, 70
1264, 1020, 19063, 71
1748, 692, 19755, 72
2768, 104, 19859, 73
81, 402, 20261, 74
1134, 243, 20504, 75
1158, 379, 20883, 76
77, 297, 21180, 77
708, 307, 21487, 78
223, 39, 21526, 79
181, 258, 21784, 80
311, 12, 21796, 81
95, 41, 21837, 82
221, 157, 21994, 83
156, 33, 22027, 84
36, 103, 22130, 85
3164, 169, 22299, 86
3423, 102, 22401, 87
120, 62, 22463, 88
39, 255, 22718, 89
278, 65, 22783, 90
696, 381, 23164, 91
1207, 598, 23762, 92
69, 8, 23770, 93
740, 283, 24053, 94
3665, 493, 24546, 95
1904, 330, 24876, 96
4077, 62, 24938, 97
1329, 453, 25391, 98
74, 66, 25457, 99
39, 163, 25620, 100
1285, 343, 25963, 101
2207, 17, 25980, 102
3667, 1239, 27219, 103
71, 136, 27355, 104
19, 487, 27842, 105
1389, 418, 28260, 106
3506, 45, 28305, 107
111, 681, 28986, 108
68, 117, 29103, 109
3235, 33, 29136, 110
80, 36, 29172, 111
2226, 340, 29512, 112
261, 15, 29527, 113
1130, 57, 29584, 114
3875, 31, 29615, 115
298, 489, 30104, 116
165, 2, 30106, 117
1365, 101, 30207, 118
177, 161, 30368, 119
964, 12, 30380, 120
115, 23, 30403, 121
945, 30, 30433, 122
31, 216, 30649, 123
1791, 326, 30975, 124
119, 16, 30991, 125
19, 151, 31142, 126
3881, 136, 31278, 127
169, 179, 31457, 128
111, 66, 31523, 129
393, 395, 31918, 130
1634, 136, 32054, 131
92, 102, 32156, 132
45, 58, 32214, 133
2023, 183, 32397, 134
2895, 114, 32511, 135
1378, 56, 32567, 136
359, 407, 32974, 137
962, 119, 33093, 138
345, 413, 33506, 139
524, 18, 33524, 140
3868, 154, 33678, 141
21, 180, 33858, 142
73, 278, 34136, 143
636, 87, 34223, 144
3292, 143, 34366, 145
416, 139, 34505, 146
209, 414, 34919, 147
17, 30, 34949, 148
33, 119, 35068, 149
3957, 84, 35152, 150
195, 205, 35357, 151
2388, 343, 35700, 152
468, 286, 35986, 153
61, 109, 36095, 154
61, 620, 36715, 155
3334, 250, 36965, 156
131, 22, 36987, 157
1573, 2, 36989, 158
37, 39, 37028, 159
573, 58, 37086, 160
59, 509, 37595, 161
285, 18, 37613, 162
687, 245, 37858, 163
72, 198, 38056, 164
833, 95, 38151, 165
21, 118, 38269, 166
180, 114, 38383, 167
138, 152, 38535, 168
1378, 309, 38844, 169
3744, 631, 39475, 170
51, 16, 39491, 171
380, 295, 39786, 172
27, 161, 39947, 173
36, 59, 40006, 174
586, 47, 40053, 175
4032, 34, 40087, 176
3858, 7, 40094, 177
2774, 143, 40237, 178
75, 27, 40264, 179
286, 14, 40278, 180
212, 123, 40401, 181
12, 64, 40465, 182
9, 121, 40586, 183
1420, 236, 40822, 184
2013, 869, 41691, 185
120, 38, 41729, 186
886, 185, 41914, 187
1106, 368, 42282, 188
318, 277, 42559, 189
2634, 354, 42913, 190
77, 678, 43591, 191
194, 529, 44120, 192
583, 15, 44135, 193
2567, 50, 44185, 194
79, 394, 44579, 195
3143, 419, 44998, 196
1204, 385, 45383, 197
158, 310, 45693, 198
270, 199, 45892, 199
1906, 532, 46424, 200
412, 455, 46879, 201
233, 12, 46891, 202
127, 126, 47017, 203
2733, 363, 47380, 204
41, 152, 47532, 205
114, 429, 47961, 206
280, 27, 47988, 207
2057, 171, 48159, 208
210, 199, 48358, 209
1843, 436, 48794, 210
43, 762, 49556, 211
315, 83, 49639, 212
2614, 41, 49680, 213
2112, 75, 49755, 214
312, 142, 49897, 215
289, 453, 50350, 216
3959, 79, 50429, 217
158, 35, 50464, 218
56, 426, 50890, 219
295, 42, 50932, 220
962, 224, 51156, 221
229, 152, 51308, 222
197, 253, 51561, 223
40, 261, 51822, 224
1929, 523, 52345, 225
232, 58, 52403, 226
553, 498, 52901, 227
544, 215, 53116, 228
217, 5, 53121, 229
22, 141, 53262, 230
