# Timer data started: Fri Mar 17 18:29:48 2023
# timer(10 ns), starts, total starts, total stops
1664, 59, 59, 1
79, 419, 478, 2
3116, 390, 868, 3
149, 49, 917, 4
105, 547, 1464, 5
336, 1079, 2543, 6
24, 483, 3026, 7
52, 182, 3208, 8
223, 304, 3512, 9
68, 566, 4078, 10
875, 120, 4198, 11
360, 148, 4346, 12
58, 510, 4856, 13
2943, 7, 4863, 14
3995, 23, 4886, 15
294, 549, 5435, 16
1054, 93, 5528, 17
134, 66, 5594, 18
39, 36, 5630, 19
3488, 96, 5726, 20
130, 99, 5825, 21
479, 188, 6013, 22
690, 24, 6037, 23
157, 123, 6160, 24
2351, 225, 6385, 25
472, 8, 6393, 26
73, 277, 6670, 27
284, 26, 6696, 28
60, 51, 6747, 29
156, 55, 6802, 30
19, 287, 7089, 31
943, 67, 7156, 32
2505, 214, 7370, 33
338, 850, 8220, 34
2206, 92, 8312, 35
171, 556, 8868, 36
189, 70, 8938, 37
395, 14, 8952, 38
408, 232, 9184, 39
145, 150, 9334, 40
3615, 137, 9471, 41
17, 334, 9805, 42
161, 112, 9917, 43
291, 70, 9987, 44
148, 11, 9998, 45
41, 183, 10181, 46
159, 766, 10947, 47
586, 190, 11137, 48
76, 13, 11150, 49
300, 67, 11217, 50
2043, 58, 11275, 51
33, 50, 11325, 52
23, 248, 11573, 53
193, 191, 11764, 54
2668, 16, 11780, 55
4029, 702, 12482, 56
3520, 347, 12829, 57
382, 90, 12919, 58
162, 150, 13069, 59
356, 314, 13383, 60
215, 299, 13682, 61
3370, 61, 13743, 62
39, 115, 13858, 63
80, 227, 14085, 64
96, 1626, 15711, 65
1125, 49, 15760, 66
31, 425, 16185, 67
598, 88, 16273, 68
1295, 387, 16660, 69
34, 315, 16975, 70
419, 373, 17348, 71
72, 85, 17433, 72
196, 27, 17460, 73
1592, 45, 17505, 74
171, 355, 17860, 75
479, 5, 17865, 76
749, 86, 17951, 77
136, 22, 17973, 78
180, 206, 18179, 79
169, 147, 18326, 80
501, 254, 18580, 81
50, 224, 18804, 82
310, 678, 19482, 83
582, 454, 19936, 84
208, 77, 20013, 85
95, 595, 20608, 86
1590, 74, 20682, 87
156, 30, 20712, 88
283, 131, 20843, 89
11, 35, 20878, 90
185, 28, 20906, 91
3864, 104, 21010, 92
1128, 650, 21660, 93
2286, 168, 21828, 94
70, 603, 22431, 95
14, 314, 22745, 96
1621, 25, 22770, 97
290, 224, 22994, 98
1530, 230, 23224, 99
115, 125, 23349, 100
80, 46, 23395, 101
508, 80, 23475, 102
40, 170, 23645, 103
253, 277, 23922, 104
427, 34, 23956, 105
34, 257, 24213, 106
777, 239, 24452, 107
1056, 440, 24892, 108
186, 292, 25184, 109
72, 62, 25246, 110
180, 593, 25839, 111
80, 13, 25852, 112
2709, 51, 25903, 113
2479, 1083, 26986, 114
780, 103, 27089, 115
39, 39, 27128, 116
167, 69, 27197, 117
13, 52, 27249, 118
236, 386, 27635, 119
1775, 269, 27904, 120
192, 121, 28025, 121
2600, 185, 28210, 122
2873, 773, 28983, 123
1023, 405, 29388, 124
31, 50, 29438, 125
74, 335, 29773, 126
82, 54, 29827, 127
188, 28, 29855, 128
3929, 107, 29962, 129
4032, 386, 30348, 130
220, 116, 30464, 131
345, 549, 31013, 132
660, 444, 31457, 133
474, 574, 32031, 134
945, 86, 32117, 135
484, 170, 32287, 136
1621, 8, 32295, 137
3004, 128, 32423, 138
3080, 725, 33148, 139
435, 317, 33465, 140
231, 518, 33983, 141
115, 393, 34376, 142
280, 157, 34533, 143
79, 19, 34552, 144
233, 217, 34769, 145
192, 5, 34774, 146
140, 111, 34885, 147
177, 46, 34931, 148
2536, 1057, 35988, 149
591, 899, 36887, 150
535, 555, 37442, 151
129, 43, 37485, 152
3580, 718, 38203, 153
806, 43, 38246, 154
39, 500, 38746, 155
3987, 182, 38928, 156
743, 360, 39288, 157
14, 78, 39366, 158
30, 261, 39627, 159
106, 31, 39658, 160
3026, 79, 39737, 161
94, 290, 40027, 162
128, 556, 40583, 163
22, 87, 40670, 164
112, 474, 41144, 165
433, 114, 41258, 166
482, 778, 42036, 167
432, 228, 42264, 168
983, 51, 42315, 169
199, 71, 42386, 170
89, 91, 42477, 171
1786, 461, 42938, 172
14, 236, 43174, 173
88, 51, 43225, 174
2142, 656, 43881, 175
344, 105, 43986, 176
1115, 104, 44090, 177
347, 250, 44340, 178
21, 415, 44755, 179
547, 94, 44849, 180
94, 381, 45230, 181
234, 308, 45538, 182
1213, 40, 45578, 183
340, 118, 45696, 184
28, 268, 45964, 185
110, 101, 46065, 186
24, 95, 46160, 187
2579, 66, 46226, 188
164, 1004, 47230, 189
3876, 2, 47232, 190
59, 25, 47257, 191
3726, 583, 47840, 192
1053, 151, 47991, 193
3104, 284, 48275, 194
41, 118, 48393, 195
624, 153, 48546, 196
1481, 319, 48865, 197
1694, 503, 49368, 198
23, 117, 49485, 199
457, 245, 49730, 200
213, 57, 49787, 201
82, 19, 49806, 202
63, 115, 49921, 203
513, 6, 49927, 204
301, 1174, 51101, 205
108, 189, 51290, 206
1736, 64, 51354, 207
760, 20, 51374, 208
716, 263, 51637, 209
2731, 121, 51758, 210
14, 286, 52044, 211
196, 361, 52405, 212
2864, 363, 52768, 213
112, 296, 53064, 214
1203, 36, 53100, 215
310, 359, 53459, 216
95, 115, 53574, 217
4059, 44, 53618, 218
301, 190, 53808, 219
374, 647, 54455, 220
2775, 218, 54673, 221
1470, 839, 55512, 222
373, 204, 55716, 223
257, 105, 55821, 224
121, 94, 55915, 225
28, 305, 56220, 226
534, 292, 56512, 227
11, 18, 56530, 228
213, 139, 56669, 229
